epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1435.34,0.91954,0.78999,1.0364,0.82101,0.83455,0.87305,0.57353,1.25497,0.88871,1.07589,0.000247716,0.000247716,0.000247716
88,1451.86,0.97905,0.83357,1.07069,0.83477,0.8246,0.875,0.57063,1.25513,0.8807,1.07046,0.000231213,0.000231213,0.000231213
89,1468.23,0.9323,0.84833,1.06036,0.84433,0.80994,0.8753,0.57671,1.24135,0.87344,1.06583,0.00021471,0.00021471,0.00021471
90,1484.13,0.89018,0.82223,1.03127,0.81833,0.82422,0.87667,0.58084,1.22554,0.86677,1.06053,0.000198206,0.000198206,0.000198206
91,1498.57,0.7498,0.85688,0.93033,0.8117,0.8318,0.87449,0.57781,1.22048,0.86115,1.056,0.000181703,0.000181703,0.000181703
92,1512.94,0.79909,0.88507,0.97503,0.8291,0.81647,0.86685,0.57216,1.20126,0.86082,1.04721,0.0001652,0.0001652,0.0001652
93,1527.29,0.7742,0.80373,0.94556,0.81989,0.82214,0.86404,0.56787,1.19305,0.85568,1.04597,0.000148696,0.000148696,0.000148696
94,1541.93,0.76798,0.78026,0.95005,0.81608,0.81802,0.86053,0.56534,1.19468,0.86202,1.04685,0.000132193,0.000132193,0.000132193
95,1556.32,0.78787,0.81606,0.9517,0.80568,0.81869,0.85638,0.56358,1.18925,0.87553,1.04635,0.00011569,0.00011569,0.00011569
96,1570.67,0.77613,0.81642,0.9444,0.8303,0.81216,0.85894,0.56292,1.18618,0.88617,1.04593,9.91865e-05,9.91865e-05,9.91865e-05
97,1585.2,0.75828,0.78087,0.91997,0.82339,0.80562,0.85866,0.55984,1.18346,0.90294,1.0455,8.26832e-05,8.26832e-05,8.26832e-05
98,1599.55,0.77475,0.78637,0.95483,0.81941,0.81645,0.8598,0.55889,1.18083,0.90965,1.04671,6.61799e-05,6.61799e-05,6.61799e-05
99,1614,0.76453,0.76096,0.93602,0.82581,0.82464,0.86229,0.56095,1.17665,0.91535,1.0477,4.96766e-05,4.96766e-05,4.96766e-05
100,1628.54,0.75272,0.74632,0.94058,0.81451,0.8285,0.86312,0.56261,1.17543,0.92496,1.04853,3.31733e-05,3.31733e-05,3.31733e-05
